flex1,flex2,flex3,flex4,flex5,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temperature,label
435.79,577.11,342.29,380.0,654.8,-0.52,-1.05,0.12,21.97,-2.98,-15.86,31.06,D
605.89,471.74,653.02,603.94,311.21,0.93,0.74,0.46,-26.42,-1.97,-3.53,31.0,A
400.43,421.05,365.05,433.22,530.62,0.82,1.16,0.15,2.02,30.48,29.27,31.0,B
410.06,406.4,431.4,422.34,582.13,0.75,0.94,-0.02,-1.53,26.9,24.62,31.22,B
612.62,641.35,590.93,691.93,569.95,0.76,0.4,0.39,21.91,27.6,1.46,30.98,C
591.82,349.87,689.2,382.41,549.92,0.92,0.63,0.24,12.03,-18.33,-25.22,30.7,E
689.73,657.3,296.17,590.56,690.76,0.06,0.19,-0.91,19.43,-13.74,-13.25,31.13,SPACE
598.72,621.81,610.98,693.25,688.1,0.75,0.61,0.67,8.9,26.55,8.48,30.97,C
599.11,344.31,692.82,341.18,532.82,0.47,0.5,0.52,17.08,-15.35,-22.48,31.2,E
419.03,583.26,391.14,356.63,678.59,-0.43,-1.0,0.01,,-12.17,-13.75,30.7,D
578.32,488.33,653.22,534.28,334.6,1.1,0.68,0.73,-22.12,-7.2,-13.17,31.1,A
557.33,369.96,689.48,390.31,493.64,0.8,0.59,0.44,12.71,-12.97,-26.11,30.88,E
639.11,650.9,339.59,605.63,677.64,0.04,0.28,-0.98,23.11,-22.62,-7.85,31.1,SPACE
411.05,419.95,360.9,424.42,564.67,0.86,0.98,-0.21,2.05,26.84,23.64,30.67,B
601.52,412.39,725.24,361.64,534.8,0.43,0.62,0.09,14.04,-21.18,-25.94,31.42,E
659.74,645.15,315.44,570.12,670.48,0.12,0.05,-0.95,25.03,-26.29,-13.85,30.83,SPACE
383.59,423.89,439.32,417.87,488.64,1.06,1.17,0.02,13.32,18.15,18.55,31.04,B
404.09,433.05,383.56,379.02,518.78,0.89,1.1,0.2,7.57,28.75,32.82,31.07,B
591.68,645.53,678.25,669.97,607.47,0.8,0.66,0.48,12.88,26.61,1.07,31.1,C
398.66,521.4,374.0,366.37,683.23,-0.62,-0.79,-0.15,19.91,-16.65,-25.84,31.38,D
589.25,646.38,630.16,715.87,634.99,0.41,0.7,0.56,10.48,22.81,-5.69,31.01,C
429.83,531.67,376.71,403.43,647.04,-0.72,-0.9,0.05,24.68,-7.63,-27.22,31.3,D
445.89,445.32,397.9,288.33,623.32,-0.75,-0.68,-0.61,22.92,16.83,26.49,31.05,DELETE
448.57,405.93,389.64,408.12,557.66,0.9,0.89,0.21,10.23,11.37,19.85,31.45,B
439.09,550.92,351.29,347.09,624.5,-0.64,-1.13,0.11,18.45,-16.51,-24.95,31.1,D
580.64,640.43,584.43,692.87,648.98,0.91,0.72,0.46,22.33,31.73,-5.64,30.98,C
611.68,458.21,664.21,545.39,327.5,0.86,0.52,0.61,-27.35,0.64,-7.44,30.43,A
609.68,518.52,585.45,528.91,324.09,0.95,0.63,0.64,-24.23,2.12,-2.6,31.06,A
630.32,425.72,611.03,541.89,279.33,0.85,0.63,0.53,-21.32,2.47,-1.11,30.98,A
593.63,346.79,750.82,359.11,554.67,0.81,0.61,0.23,5.18,-22.75,-31.46,31.35,E
406.29,398.01,401.47,389.56,519.82,0.82,1.17,0.21,11.03,31.46,25.03,31.91,B
378.05,403.93,408.37,419.75,510.29,0.99,0.68,0.09,12.15,20.2,35.06,30.74,B
648.81,661.62,345.27,574.48,636.42,0.39,-0.0,-0.83,29.45,-19.12,-7.5,31.21,SPACE
637.22,367.93,702.56,351.77,494.99,1.0,0.34,0.21,12.66,-20.8,-33.05,30.45,E
574.88,642.92,581.68,727.8,609.53,0.76,0.87,0.63,21.93,18.97,-4.97,30.7,C
624.32,446.78,641.24,602.45,359.32,0.98,0.66,0.65,-16.31,-1.53,-9.53,31.1,A
625.07,484.05,651.34,589.19,353.07,0.64,0.47,0.25,-22.13,-3.0,-2.52,31.36,A
407.14,405.4,413.27,318.07,644.76,-0.51,-0.39,-0.67,15.22,11.18,25.17,31.11,DELETE
618.4,494.72,646.47,582.22,358.26,0.94,0.41,0.51,-19.14,-2.96,-6.05,31.2,A
374.21,594.62,371.33,371.77,667.73,-0.7,-0.91,-0.12,32.12,-13.34,-14.53,30.94,D
573.44,671.75,633.14,734.7,646.84,0.72,0.62,0.66,21.67,21.17,-6.66,31.15,C
322.28,596.72,393.22,424.82,651.26,-0.9,-1.03,0.0,16.73,-2.2,-11.11,31.14,D
390.0,549.09,409.27,376.45,695.91,-0.91,-0.88,0.31,21.91,-11.76,-28.15,31.32,D
327.99,540.98,362.6,350.5,645.24,-0.72,-1.06,0.01,24.9,-11.62,-24.58,30.95,D
667.49,635.91,351.11,611.32,683.27,0.27,0.28,-0.84,16.72,-25.35,-7.23,31.35,SPACE
585.99,639.09,615.09,675.95,630.9,0.76,0.7,0.56,26.72,26.94,-2.05,31.45,C
581.25,452.57,655.87,582.51,354.93,0.89,0.55,0.67,-23.86,-0.69,-11.06,30.89,A
387.78,593.03,337.63,387.44,708.51,-0.67,-1.08,0.06,19.41,-17.41,-18.81,31.34,D
597.53,500.53,645.87,598.84,326.49,0.94,0.5,0.45,-19.0,0.27,-4.78,31.46,A
569.58,456.5,647.15,588.1,348.11,0.75,0.65,0.45,-19.15,-3.03,-14.63,30.91,A
660.42,644.22,296.23,602.47,693.7,0.25,0.08,-1.1,17.31,-25.25,-9.47,30.76,SPACE
670.77,622.56,366.32,595.42,657.22,-0.18,0.3,-0.89,21.86,-29.23,-14.07,30.89,SPACE
558.11,638.84,601.28,684.14,638.79,0.78,0.87,0.5,18.52,21.4,-1.43,31.0,C
398.15,467.34,402.73,369.61,575.29,-0.23,-0.67,-0.82,25.39,23.4,26.92,30.93,DELETE
404.17,429.78,377.58,398.64,486.52,0.91,1.04,0.18,4.78,26.86,18.4,30.63,B
415.0,426.42,367.25,435.36,588.83,1.14,1.19,0.07,0.03,12.38,27.25,30.82,B
390.8,573.2,361.92,361.03,654.92,-0.66,-1.02,0.14,28.21,-5.59,-23.69,31.23,D
415.61,551.59,362.88,413.06,671.88,-0.58,-0.68,-0.1,16.83,-14.05,-23.58,30.29,D
621.72,645.01,591.23,682.89,610.71,0.57,0.33,0.52,20.7,25.08,-7.23,31.03,C
367.36,540.98,359.88,400.04,666.48,-0.68,-0.88,-0.1,20.54,-10.54,-30.23,30.65,D
430.06,447.52,397.55,344.49,643.38,-0.51,-0.56,-0.66,32.26,7.93,16.89,31.28,DELETE
643.8,654.35,329.53,555.52,670.64,0.32,0.3,-0.89,11.48,-20.83,-9.13,30.64,SPACE
632.61,491.92,662.08,572.17,314.45,0.82,0.28,0.61,-22.73,-5.18,-22.53,30.63,A
577.76,361.13,723.93,361.29,522.39,1.0,0.99,0.33,19.1,-16.77,-32.45,31.01,E
399.63,395.7,395.91,405.48,551.37,0.78,0.85,0.09,7.84,24.46,19.83,31.11,B
572.84,625.67,601.09,712.26,633.12,0.75,0.6,0.15,18.46,26.21,-0.57,31.63,C
616.61,365.49,704.4,369.31,554.81,0.95,0.27,0.26,15.52,-24.0,-29.24,31.23,E
563.3,346.52,698.31,357.31,503.02,0.85,0.62,0.12,11.08,-23.55,-32.5,31.28,E
603.6,449.96,647.92,584.45,371.65,1.08,0.58,0.79,-28.26,-6.18,-12.38,30.88,A
717.66,664.82,332.62,578.33,691.39,0.04,-0.03,-0.99,31.13,-17.73,-13.45,30.8,SPACE
380.71,353.78,412.78,387.67,534.04,0.97,0.94,0.17,0.68,19.01,29.4,30.82,B
618.48,360.19,718.35,366.13,577.78,0.68,0.44,0.2,6.01,-28.86,-26.31,31.0,E
627.97,484.91,659.24,543.84,345.95,0.91,0.45,0.7,-14.92,6.0,-1.18,30.97,A
623.07,602.96,633.06,689.1,620.03,0.51,0.67,0.5,23.89,18.15,-1.33,30.67,C
414.06,569.1,393.45,375.37,652.53,-0.45,-0.72,0.0,19.5,-3.12,-18.31,31.09,D
617.21,340.14,701.99,418.1,518.04,0.85,0.88,0.39,25.33,-25.61,-34.37,31.37,E
369.14,425.3,397.82,388.57,516.42,0.81,1.13,0.07,4.03,25.64,23.17,30.58,B
596.82,636.8,575.62,688.58,610.23,0.68,0.45,0.61,4.41,23.85,-4.59,31.04,C
399.3,405.26,347.69,426.14,568.85,1.21,1.03,0.06,14.98,30.01,31.64,30.72,B
657.67,632.48,313.99,598.88,649.42,0.24,0.16,-1.0,29.31,-25.14,-13.1,31.04,SPACE
395.3,555.76,383.58,384.77,635.52,-0.7,-0.91,0.26,25.7,-4.37,-25.36,30.84,D
412.27,642.45,359.4,374.66,670.29,-0.46,-0.82,-0.32,24.58,2.42,-19.2,30.65,D
415.73,403.01,396.0,423.89,542.77,0.93,0.74,0.07,13.74,15.61,29.17,31.1,B
422.16,452.45,431.53,320.6,597.08,-0.73,-0.42,-0.85,26.17,12.32,31.16,30.85,DELETE
600.48,631.33,596.39,707.93,593.03,0.74,0.9,0.43,24.0,28.88,-8.82,30.67,C
707.9,624.54,329.5,566.13,635.81,0.06,0.17,-0.94,22.63,-23.9,-12.87,31.01,SPACE
366.01,438.17,391.06,408.33,531.39,1.1,0.85,-0.11,9.46,24.6,27.64,30.76,B
415.93,427.8,370.69,330.69,603.89,-0.8,-0.24,-0.67,24.83,11.22,29.65,30.61,DELETE
386.73,595.63,372.52,267.91,668.55,-0.42,-1.26,0.23,,-5.75,-22.35,30.3,D
607.93,682.35,626.77,698.68,572.45,0.61,0.63,0.5,15.72,21.4,-7.43,30.5,C
429.9,558.35,339.85,382.57,646.63,-0.47,-0.91,0.03,26.27,-4.98,-18.39,31.43,D
589.85,357.9,709.53,336.02,559.01,0.79,0.84,0.24,16.09,-21.05,-25.7,31.03,E
391.89,526.47,332.87,364.7,650.3,-0.44,-0.88,-0.13,18.12,-3.57,-16.68,31.01,D
602.56,397.86,676.89,349.43,551.12,0.93,0.3,0.6,15.57,-18.46,-30.14,30.44,E
573.4,442.48,618.51,588.94,315.03,0.89,0.72,0.52,-18.63,-7.64,-8.78,30.71,A
378.16,417.29,349.98,411.82,506.39,1.02,0.75,0.13,13.46,17.68,20.29,30.35,B
580.13,623.35,678.94,679.0,604.25,0.48,0.68,0.32,15.9,31.31,0.87,31.17,C
411.91,614.02,384.99,332.5,716.97,-0.79,-0.74,0.01,27.07,-13.88,-19.18,30.92,D
399.41,393.21,421.6,377.35,553.86,1.16,1.01,0.03,10.34,7.29,27.49,30.97,B
587.29,638.1,569.16,676.75,586.19,0.54,0.73,0.64,13.57,27.5,-6.66,30.91,C
561.27,374.2,695.41,380.44,526.01,0.69,0.6,0.3,14.08,-25.89,-24.91,30.81,E
624.54,665.11,319.24,614.36,674.49,0.27,0.19,-0.79,20.37,-34.49,-8.34,30.76,SPACE
660.04,629.3,301.54,645.95,671.46,0.41,0.41,-0.97,23.48,-26.99,-16.98,30.94,SPACE
604.58,339.64,694.79,333.72,537.05,0.75,0.72,0.09,13.0,-19.09,-24.88,30.77,E
419.32,447.76,399.56,340.29,585.98,-0.56,-0.37,-0.4,27.13,19.62,30.18,30.94,DELETE
583.63,311.35,654.95,403.48,514.02,0.8,0.76,0.52,11.93,-23.97,-29.06,30.81,E
440.69,436.42,338.93,348.63,619.02,-0.67,-0.32,-0.85,33.72,16.58,14.45,31.05,DELETE
657.55,655.04,297.07,618.3,627.58,-0.03,0.18,-0.94,22.72,-30.46,-1.76,31.05,SPACE
393.85,563.64,395.08,377.73,641.82,-0.79,-1.05,-0.21,18.01,-2.95,-23.34,31.21,D
400.17,623.1,378.23,362.82,668.82,-0.38,-1.21,-0.12,20.58,-12.53,-23.97,30.61,D
628.15,377.65,686.56,363.49,507.22,0.86,0.5,0.24,17.56,-20.68,-36.83,31.26,E
661.83,632.47,347.34,632.79,633.31,0.56,-0.01,-0.72,22.11,-29.73,-13.24,30.99,SPACE
489.93,434.62,394.23,348.03,605.75,-0.52,-0.44,-0.77,30.69,8.62,34.56,31.24,DELETE
428.96,426.97,404.44,391.14,533.75,0.95,0.86,0.01,9.33,17.76,21.94,30.59,B
408.33,436.56,382.81,364.72,519.64,1.12,0.9,-0.05,-0.77,30.36,30.1,31.23,B
364.55,558.59,365.03,365.07,658.69,-0.32,-0.98,-0.06,26.84,-9.24,-15.11,31.05,D
689.76,622.48,275.24,583.86,638.08,0.52,0.2,-0.77,19.94,-28.11,-11.35,31.33,SPACE
394.61,425.74,354.93,416.88,589.8,1.08,1.2,0.08,7.98,23.5,21.9,30.71,B
676.05,642.59,317.25,628.67,700.11,0.41,0.18,-1.23,20.62,-31.01,-11.84,30.8,SPACE
619.78,515.97,646.71,553.89,334.93,0.95,0.32,0.53,-26.02,1.64,-7.58,30.92,A
569.78,483.09,668.83,537.49,337.47,0.99,0.48,0.29,-23.94,-4.61,-8.49,30.83,A
641.56,624.37,603.46,697.27,611.81,0.64,0.71,0.44,10.2,26.13,-6.99,30.48,C
606.32,666.47,635.53,683.52,624.93,0.91,0.42,0.55,22.9,24.79,-7.54,31.28,C
385.43,538.61,356.62,405.17,638.68,-0.83,-0.94,0.08,29.98,-8.67,-19.09,31.22,D
395.34,537.68,397.94,387.45,634.01,-0.72,-0.89,-0.04,19.09,-13.71,-20.62,30.89,D
660.12,671.36,303.15,584.79,667.28,-0.02,0.33,-1.05,19.0,-28.28,-10.99,30.9,SPACE
612.87,482.01,682.56,569.9,314.14,0.88,0.59,0.34,-19.13,-5.67,-2.01,30.28,A
388.62,529.84,402.34,375.96,699.39,-0.52,-1.08,-0.01,22.37,-2.81,-20.12,31.05,D
614.46,470.11,633.84,586.15,331.36,0.94,0.53,0.47,-19.65,11.59,-16.64,31.1,A
390.28,552.7,401.07,412.29,662.81,-0.72,-0.87,0.01,20.81,-8.75,-24.52,31.08,D
622.92,670.16,614.5,720.09,620.51,0.64,0.46,0.52,20.84,31.53,-6.17,30.73,C
431.0,559.64,358.92,381.89,673.99,-0.92,-0.85,-0.0,16.47,-20.86,-22.99,31.43,D
587.55,357.88,700.01,379.2,596.49,0.85,0.83,0.17,4.55,-23.71,-37.41,31.0,E
394.57,531.99,336.55,364.37,680.09,-0.71,-1.04,0.19,29.52,-4.16,-26.58,30.85,D
677.34,658.51,321.64,652.73,688.67,0.13,-0.01,-0.82,21.08,-34.36,-9.05,30.92,SPACE
677.53,617.85,325.49,569.22,678.28,-0.04,0.25,-1.13,19.44,-22.74,-10.05,30.51,SPACE
629.03,477.2,671.62,590.63,316.19,1.01,0.38,0.7,-22.56,-3.9,-11.16,31.37,A
674.49,641.81,377.78,634.0,701.35,0.34,0.14,-0.82,19.62,-19.06,-9.17,31.08,SPACE
568.61,715.32,618.12,669.25,600.7,0.71,0.79,0.74,20.05,23.38,2.45,30.79,C
587.28,668.4,609.12,702.78,573.61,0.56,0.99,0.43,14.23,33.24,-0.08,31.17,C
717.11,622.54,332.17,578.73,660.88,0.51,0.13,-0.95,16.65,-21.48,-27.51,30.87,SPACE
379.58,550.96,444.81,388.17,617.2,-0.58,-1.1,0.14,20.71,-12.64,-14.26,31.17,D
620.09,664.13,580.57,740.18,615.15,0.65,0.56,0.5,9.75,29.58,-6.26,31.11,C
396.32,425.24,365.78,301.02,643.09,-0.57,-0.76,-0.73,33.07,13.06,33.28,30.74,DELETE
428.16,485.3,392.69,334.93,618.59,-0.55,-0.5,-0.61,25.96,16.13,21.84,31.03,DELETE
685.6,686.82,284.04,580.06,689.19,-0.16,0.28,-0.75,18.48,-29.37,-16.56,30.84,SPACE
387.2,403.06,384.44,416.84,537.86,1.08,1.0,0.18,8.81,25.52,30.33,30.76,B
623.29,497.94,593.5,536.89,342.93,0.84,0.72,0.52,-31.99,-9.32,-21.5,30.93,A
557.92,399.91,694.87,384.35,557.01,0.74,0.53,0.39,11.41,-17.27,-30.31,31.31,E
434.85,574.65,354.92,361.75,644.12,-0.62,-1.08,0.12,32.43,-10.75,-29.03,30.6,D
384.58,560.2,337.17,398.46,672.86,-0.59,-0.88,0.01,19.14,-14.52,-15.86,31.23,D
463.91,426.86,383.2,319.06,613.98,-0.32,-0.06,-0.52,33.93,25.44,27.04,31.47,DELETE
609.8,495.42,647.95,562.55,368.33,1.19,0.6,0.72,-16.1,2.67,-4.68,31.18,A
415.29,443.85,351.46,333.85,617.11,-0.25,-0.7,-0.68,34.93,15.65,24.94,30.75,DELETE
393.9,368.35,395.67,405.5,527.6,0.87,0.9,0.03,8.8,24.62,31.38,30.91,B
633.6,651.6,635.37,670.01,578.67,0.53,0.7,0.47,15.79,21.01,-7.82,30.99,C
376.92,430.95,395.82,408.6,560.16,1.12,0.96,-0.05,14.02,25.47,17.94,30.91,B
632.81,653.59,352.66,558.08,654.88,0.04,0.16,-0.75,19.13,-27.45,-3.91,31.14,SPACE
423.79,408.74,420.21,360.53,589.91,-0.56,-0.47,-0.81,19.16,13.51,24.01,30.57,DELETE
601.18,523.18,644.33,622.79,335.34,0.97,0.58,1.05,-18.06,-6.51,-2.91,30.89,A
398.5,407.15,411.33,403.65,533.29,1.09,0.87,0.06,6.78,13.67,21.37,31.47,B
592.01,472.57,602.92,520.34,361.24,0.8,0.45,0.36,-29.36,-3.85,-11.4,31.11,A
590.5,642.75,571.08,690.31,635.15,0.74,0.46,0.23,26.43,25.63,-4.72,30.92,C
592.39,384.73,717.71,350.71,538.27,1.03,0.5,0.57,6.23,-23.67,-34.17,31.66,E
592.41,679.74,554.1,695.51,600.74,0.6,1.02,0.45,16.07,26.21,-11.5,30.77,C
612.37,465.84,680.37,591.61,304.88,1.05,0.41,0.49,-20.74,-5.44,-3.29,30.77,A
430.78,419.43,429.74,324.65,599.56,-0.58,-0.62,-0.71,27.33,20.52,23.85,30.62,DELETE
430.51,470.79,410.19,330.7,570.01,-0.41,-0.41,-0.57,38.17,12.74,11.42,30.68,DELETE
681.74,694.99,309.82,578.76,643.16,0.39,0.37,-0.99,10.68,-30.59,-8.45,30.98,SPACE
588.81,479.2,643.01,586.02,364.78,0.69,0.67,0.57,-23.33,-10.33,-5.24,30.28,A
412.89,464.25,407.96,346.05,632.9,-0.83,-0.2,-0.67,34.72,6.69,27.08,30.83,DELETE
600.9,337.23,754.3,374.29,531.65,1.0,0.77,0.49,9.62,-20.36,-35.35,31.2,E
399.35,428.39,405.96,429.28,535.17,1.05,1.03,0.04,5.69,32.67,23.72,30.8,B
624.36,436.01,680.34,588.16,358.84,0.87,0.64,0.73,-21.15,-1.8,-6.4,30.74,A
579.01,406.68,688.26,336.52,541.65,0.72,0.86,0.3,12.17,-18.99,-34.44,30.61,E
415.82,435.86,437.16,400.4,481.61,0.96,1.1,-0.09,7.46,18.14,33.49,31.22,B
448.28,421.71,389.14,351.59,595.41,-0.35,-0.42,-0.66,18.45,14.99,27.65,31.52,DELETE
641.85,651.22,322.81,679.36,634.97,0.22,-0.01,-0.97,19.63,-22.99,-13.44,30.94,SPACE
585.88,668.74,563.69,683.36,652.87,0.61,0.63,0.33,19.79,22.4,-2.42,31.25,C
403.58,448.41,395.67,329.71,676.54,-0.54,-0.48,-0.7,23.64,20.29,22.36,30.83,DELETE
408.75,384.14,429.15,476.58,542.14,1.07,0.91,-0.22,5.33,16.13,18.74,31.52,B
369.56,536.38,356.61,369.69,612.73,-0.61,-0.86,0.16,19.6,-10.64,-22.46,31.51,D
570.27,441.0,630.14,547.72,347.93,0.88,0.88,0.31,-21.3,-8.62,-10.22,31.04,A
344.37,453.34,406.59,362.29,,1.1,0.94,-0.02,15.35,16.36,21.99,31.06,B
600.04,445.66,655.61,567.21,337.98,1.02,0.59,0.67,-22.81,-5.09,-8.15,30.49,A
661.52,679.82,294.9,596.62,658.92,0.14,0.24,-0.84,23.53,-32.1,-19.42,31.08,SPACE
400.8,534.01,379.28,381.29,716.53,-0.49,-0.86,0.04,22.58,-15.46,-31.01,30.74,D
442.61,409.38,381.72,380.27,591.5,-0.46,-0.42,-0.47,29.97,14.71,26.13,31.02,DELETE
695.6,640.05,306.88,598.51,689.39,0.32,0.16,-0.78,22.06,-30.08,-14.73,31.12,SPACE
598.8,413.01,600.84,558.12,323.73,0.89,0.53,0.53,-17.07,-6.36,-12.06,31.14,A
577.93,427.44,658.89,328.95,553.88,1.1,0.69,0.45,2.95,-24.45,-38.79,31.23,E
375.29,605.18,378.08,430.65,640.43,-0.68,-1.06,0.02,12.89,-7.02,-20.69,30.98,D
368.8,424.67,407.81,427.49,551.79,1.16,0.98,0.1,10.9,22.31,23.99,30.9,B
594.11,459.14,629.3,606.43,353.39,1.21,0.86,0.42,-21.96,-8.86,-11.64,30.81,A
677.02,669.5,350.67,596.2,672.99,0.33,0.14,-1.08,17.33,-28.42,-7.88,31.38,SPACE
366.7,439.27,424.44,380.26,545.31,0.97,1.06,0.09,14.32,21.98,25.14,31.33,B
380.89,379.04,389.61,408.12,522.99,0.95,0.98,-0.04,11.8,28.78,23.65,31.15,B
368.75,468.72,411.92,422.97,492.77,0.86,1.17,0.1,-1.23,26.79,23.26,31.42,B
581.62,392.32,640.97,345.79,519.15,0.87,0.63,0.27,12.06,-21.84,-26.72,31.04,E
620.9,483.57,649.4,618.39,310.98,0.94,0.69,0.76,-29.42,-4.54,-0.96,31.15,A
399.22,460.41,383.67,317.97,607.89,-0.47,-0.42,-0.74,29.12,16.61,20.1,30.91,DELETE
427.93,462.86,383.23,363.22,644.34,-0.62,-0.2,-0.63,28.74,17.36,26.14,30.21,DELETE
607.1,396.09,675.33,358.1,563.45,1.08,0.55,0.22,23.84,-21.47,-20.3,31.06,E
651.47,623.36,577.8,674.95,641.9,0.86,0.64,0.47,14.03,30.53,-3.39,30.92,C
354.74,438.32,412.48,389.64,493.42,0.88,0.97,0.23,3.16,21.18,29.35,30.29,B
572.02,401.44,629.85,639.46,348.54,0.87,0.59,0.34,-23.8,-2.48,-8.18,31.24,A
661.14,644.1,304.69,613.56,660.68,0.41,0.17,-1.05,12.92,-28.08,-17.54,30.6,SPACE
640.4,406.1,634.75,549.45,357.79,0.85,0.58,0.66,-13.13,-3.99,-5.87,30.55,A
567.44,369.57,681.41,354.54,521.0,0.81,0.74,0.28,3.61,-25.68,-37.02,31.07,E
596.55,464.67,631.46,598.72,375.13,0.88,0.46,0.62,-23.54,1.78,-19.01,30.75,A
389.07,551.44,334.73,382.86,656.75,-0.83,-0.99,-0.29,26.4,-14.29,-22.48,30.57,D
643.98,652.97,305.07,613.25,681.49,0.04,0.23,-0.93,24.09,-23.06,-8.8,30.91,SPACE
681.8,611.38,340.07,605.27,695.41,0.23,0.21,-0.83,18.05,-30.75,-8.82,30.99,SPACE
408.32,571.01,355.86,384.8,676.75,-0.72,-0.91,-0.03,18.53,-7.83,-25.09,31.12,D
436.88,366.07,374.05,305.09,646.1,-0.59,-0.52,-0.64,25.52,14.85,26.28,30.87,DELETE
630.64,666.67,571.96,709.08,,0.48,0.7,0.54,22.62,28.57,1.17,30.7,C
617.78,518.74,605.09,600.54,329.46,0.94,0.36,0.52,-15.81,-0.06,0.91,31.35,A
387.5,531.51,364.41,373.11,643.65,-0.67,-0.85,0.11,24.53,-11.64,-25.15,30.69,D
384.77,576.84,354.42,361.43,652.98,-0.88,-0.9,0.17,21.37,-11.45,-20.44,30.39,D
481.95,428.93,363.84,329.71,609.79,-0.64,-0.04,-0.59,30.81,14.55,22.91,31.31,DELETE
634.0,364.49,673.22,396.53,553.35,0.91,0.57,0.36,7.5,-18.78,-22.53,31.49,E
448.62,459.05,396.81,338.53,629.7,-0.4,-0.64,-0.6,27.57,14.9,32.27,30.78,DELETE
440.39,449.64,398.29,307.39,614.59,-0.55,-0.36,-0.49,29.25,10.48,26.33,31.78,DELETE
612.54,703.95,604.89,677.76,572.12,0.79,0.4,0.54,22.2,28.26,-2.59,31.17,C
594.09,487.33,630.1,568.66,371.74,0.8,0.16,0.81,-9.57,-5.0,-17.44,30.91,A
567.84,603.04,564.22,674.49,572.3,0.75,0.48,-0.01,12.89,23.72,-4.51,31.46,C
664.7,668.86,286.49,576.12,661.86,0.03,0.14,-0.97,27.91,-26.5,-6.04,31.09,SPACE
425.8,480.31,389.2,317.66,630.71,-0.64,-0.35,-0.57,27.55,19.69,18.36,31.05,DELETE
604.46,345.23,672.09,374.58,576.54,0.88,0.6,0.33,7.25,-15.4,-28.49,30.8,E
381.34,440.38,361.08,339.73,615.53,-0.41,-0.27,-0.57,32.8,15.11,39.91,30.63,DELETE
354.03,394.21,402.33,375.63,530.08,1.15,0.79,0.02,13.47,19.51,23.11,31.35,B
605.65,367.05,720.62,398.55,513.88,0.81,0.8,0.28,10.46,-16.9,-23.9,30.87,E
657.17,645.01,358.19,683.58,699.11,0.16,0.3,-0.81,16.74,-33.52,-11.51,31.24,SPACE
585.78,418.65,682.61,360.15,557.75,0.67,0.77,0.38,19.28,-17.5,-22.92,30.97,E
597.12,695.13,595.25,704.19,651.61,0.62,0.94,0.46,27.02,29.83,0.05,30.98,C
610.03,641.11,621.22,675.65,569.09,0.69,0.67,0.41,24.24,21.83,0.08,31.02,C
364.64,601.74,343.01,414.65,664.82,-0.65,-1.01,0.1,21.69,-12.29,-18.83,30.96,D
369.61,405.97,406.4,426.31,540.96,1.18,0.97,0.0,21.86,23.57,22.38,30.79,B
656.5,454.22,636.25,542.36,322.9,1.0,0.7,0.46,-25.58,-13.71,-8.57,30.68,A
395.71,473.03,376.53,342.23,637.05,-0.45,-0.76,-0.53,27.99,15.22,25.25,30.52,DELETE
430.13,601.13,432.47,396.59,655.77,-0.56,-1.05,0.02,18.52,-8.45,-25.57,30.79,D
576.71,362.92,720.15,320.85,506.71,0.82,0.55,0.25,6.61,-20.88,-30.17,31.16,E
397.43,577.82,352.68,357.6,632.42,-0.78,-0.96,0.02,20.81,-12.56,-24.07,31.75,D
614.13,612.1,579.29,705.23,547.79,0.7,0.51,0.48,12.72,28.2,-1.39,31.42,C
600.21,494.46,652.91,548.08,373.73,0.88,0.27,0.42,-27.42,-2.72,-9.12,30.9,A
563.09,478.03,666.71,623.89,350.58,0.9,0.39,0.57,-23.81,-8.05,2.49,31.54,A
423.69,570.12,381.49,370.43,651.49,-0.8,-0.83,-0.1,29.19,-12.02,-22.21,31.23,D
355.61,441.59,390.02,379.44,527.55,1.03,0.91,0.14,5.43,24.7,28.19,30.98,B
391.18,405.42,427.82,396.93,522.44,1.13,0.9,0.05,0.44,25.12,35.68,31.22,B
557.06,621.36,584.58,718.0,592.68,0.64,0.96,0.51,19.8,24.23,-4.47,30.34,C
530.2,666.99,591.76,686.64,644.05,0.6,0.56,0.44,20.18,23.87,-9.36,30.74,C
438.65,463.07,398.48,338.18,603.43,-0.4,-0.28,-0.65,27.91,24.82,25.69,31.02,DELETE
364.09,418.9,398.77,348.67,538.37,0.85,1.05,-0.14,8.49,20.18,27.49,31.04,B
593.85,627.82,597.18,663.29,611.9,0.79,1.04,0.37,16.77,23.2,-0.43,31.11,C
587.17,351.43,712.42,388.23,562.63,0.89,0.68,0.37,14.45,-19.24,-28.4,31.25,E
608.91,358.88,681.29,395.22,555.64,0.7,0.69,-0.06,10.06,-17.14,-30.05,31.04,E
428.02,569.56,325.11,374.77,656.56,-0.88,-1.02,-0.21,24.8,-9.61,-30.54,31.11,D
618.71,372.45,710.28,383.25,544.77,0.84,0.45,0.39,13.14,-24.02,-23.03,30.57,E
425.77,444.73,346.23,315.96,638.69,-0.51,-0.38,-0.62,39.45,14.71,33.82,31.04,DELETE
400.72,600.55,382.77,352.95,668.66,-0.61,-1.08,0.13,20.96,-17.49,-20.03,31.07,D
549.97,668.7,609.61,709.53,566.01,0.97,0.57,0.49,22.38,21.15,-4.22,31.05,C
602.75,375.58,703.54,398.04,510.26,0.81,0.77,0.37,15.23,-8.18,-26.35,31.34,E
